Id,Action
1,0.986965
2,0.993615
3,0.999335
4,0.999601
5,0.999867
6,1.000000
7,0.935621
8,0.995744
9,0.900638
10,0.996941
11,0.896781
12,0.999601
13,0.943602
14,0.967412
15,0.996808
16,0.890529
17,0.929769
18,0.997207
19,0.983107
20,0.997207
21,1.000000
22,0.996941
23,0.972998
24,0.968742
25,0.999468
26,0.903033
27,0.924581
28,0.968077
29,0.992817
30,0.958633
31,0.996409
32,0.996010
33,0.992950
34,0.987630
35,0.986433
36,0.999069
37,0.982708
38,0.988561
39,0.963554
40,0.950652
41,0.961559
42,0.979782
43,0.992551
44,0.997739
45,0.989758
46,0.968609
47,0.999601
48,0.998404
49,0.998537
50,0.938814
51,0.942937
52,0.998005
53,0.997739
54,0.999734
55,0.959298
56,0.999601
57,0.992684
58,0.998404
59,0.934956
60,0.940144
61,1.000000
62,0.990290
63,0.985901
64,0.999867
65,0.997340
66,0.975525
67,0.935621
68,0.999335
69,0.934158
70,0.523943
71,0.981511
72,0.989625
73,0.999335
74,1.000000
75,0.999468
76,0.992285
77,0.987763
78,0.891727
79,0.415669
80,0.999468
81,0.963288
82,0.998271
83,0.963953
84,0.990955
85,0.999601
86,0.998936
87,0.993748
88,0.999335
89,0.997340
90,0.683293
91,0.995877
92,0.702447
93,0.993216
94,0.991886
95,0.994014
96,0.984703
97,0.207103
98,0.861532
99,0.999734
100,0.997739
101,0.895318
102,0.891594
103,0.999867
104,0.993216
105,0.517026
106,0.996675
107,0.995478
108,0.976590
109,0.999601
110,0.988561
111,0.457702
112,0.989625
113,0.978718
114,0.986832
115,0.999468
116,0.995078
117,0.998271
118,0.993482
119,0.989226
120,0.993748
121,0.975392
122,0.983639
123,0.996143
124,0.971402
125,0.998005
126,0.983639
127,0.978319
128,0.879090
129,0.972333
130,0.912743
131,0.999202
132,0.997872
133,0.971535
134,0.993881
135,0.998803
136,0.993482
137,0.994413
138,0.993615
139,0.777733
140,0.999734
141,0.998138
142,0.968077
143,1.000000
144,0.981511
145,0.997739
146,0.634743
147,0.982442
148,0.976190
149,1.000000
150,0.993748
151,0.995877
152,0.528864
153,0.992950
154,0.994014
155,0.998138
156,0.974461
157,0.944799
158,0.987630
159,0.807529
160,0.992152
161,0.936951
162,0.994280
163,0.991354
164,0.978585
165,0.999601
166,0.981777
167,0.917531
168,0.952780
169,0.976457
170,0.997074
171,0.992551
172,0.990689
173,0.999335
174,0.992684
175,0.982442
176,0.991886
177,0.844107
178,0.998404
179,0.999867
180,0.991487
181,0.752594
182,0.983639
183,0.805400
184,0.747938
185,0.993482
186,0.994413
187,0.996276
188,0.996010
189,0.640197
190,0.985901
191,0.998803
192,0.988827
193,0.999468
194,0.993083
195,0.999202
196,0.999335
197,0.991620
198,0.995211
199,0.994014
200,0.345837
201,0.991487
202,0.909550
203,0.996143
204,0.969540
205,0.893456
206,0.977388
207,0.995744
208,0.983506
209,0.495478
210,0.739159
211,0.972333
212,0.879090
213,0.999468
214,0.995744
215,0.998936
216,0.997739
217,0.995744
218,0.967146
219,0.999867
220,0.984171
221,0.775738
222,1.000000
223,0.996276
224,0.977654
225,0.995478
226,0.845837
227,0.927773
228,0.995345
229,0.998670
230,0.998271
231,0.959431
232,0.862330
233,0.864858
234,0.272945
235,0.998670
236,0.742086
237,0.999601
238,0.951317
239,0.973131
240,0.998537
241,0.981910
242,0.590982
243,0.247805
244,0.992950
245,0.991620
246,0.985368
247,0.982841
248,0.987098
249,0.983639
250,0.986300
251,0.958234
252,0.771216
253,0.963687
254,0.997872
255,0.998670
256,0.982974
257,0.995877
258,0.824421
259,0.996409
260,0.999601
261,0.972732
262,0.982575
263,0.999202
264,0.999335
265,0.995611
266,0.962889
267,0.999867
268,0.998271
269,0.992285
270,0.999867
271,0.998271
272,0.914206
273,0.998404
274,0.273477
275,0.999202
276,0.945464
277,0.947592
278,0.989625
279,0.903831
280,0.990290
281,0.999734
282,0.984570
283,0.969540
284,0.905161
285,0.995611
286,0.974461
287,0.994280
288,0.996010
289,0.996542
290,0.998404
291,0.901836
292,0.543363
293,0.981511
294,0.960096
295,0.996542
296,0.103485
297,0.280793
298,0.998936
299,0.872439
300,0.992019
301,0.934291
302,0.999601
303,0.812184
304,0.924315
305,0.996542
306,0.997473
307,0.999734
308,0.999601
309,0.998271
310,0.996941
311,0.998537
312,0.986433
313,1.000000
314,0.964219
315,0.975525
316,0.999202
317,0.936552
318,0.998936
319,0.997340
320,1.000000
321,0.996808
322,0.100559
323,0.998670
324,0.971003
325,0.973131
326,0.833067
327,0.997606
328,0.999867
329,0.981910
330,0.874701
331,0.999468
332,0.999867
333,0.979117
334,0.966081
335,0.999734
336,0.877627
337,0.981378
338,0.998138
339,0.998936
340,0.962889
341,0.986034
342,0.981777
343,0.943336
344,1.000000
345,0.982841
346,0.931631
347,0.996409
348,0.990423
349,0.984969
350,0.513168
351,0.998670
352,0.993349
353,0.991620
354,0.571429
355,0.980048
356,0.998670
357,0.964219
358,0.986300
359,0.994945
360,0.569699
361,0.988162
362,0.991487
363,0.999601
364,0.956504
365,1.000000
366,0.992684
367,0.993083
368,0.992551
369,0.986832
370,0.999601
371,0.999601
372,0.945597
373,0.818569
374,0.215217
375,0.994679
376,0.991354
377,0.678771
378,0.974062
379,0.998936
380,0.943735
381,0.778399
382,0.999335
383,0.999734
384,0.918462
385,0.845305
386,0.999468
387,0.874036
388,0.850359
389,0.998271
390,0.994812
391,0.952647
392,0.980713
393,0.996409
394,1.000000
395,0.985901
396,0.999601
397,0.998005
398,0.994147
399,0.997739
400,0.992285
401,0.961293
402,0.992418
403,0.995744
404,0.749268
405,0.997074
406,0.921522
407,0.978718
408,0.994679
409,0.989891
410,0.999202
411,0.999734
412,0.927906
413,0.981378
414,0.968742
415,0.992950
416,0.948125
417,0.999601
418,0.991487
419,0.953179
420,0.996010
421,0.999202
422,0.992019
423,0.979383
424,0.918063
425,0.998138
426,0.999069
427,0.986699
428,0.998936
429,0.693136
430,0.999867
431,0.999601
432,0.791833
433,0.984038
434,0.994679
435,0.949588
436,0.994413
437,0.943336
438,0.149774
439,0.847566
440,0.140862
441,0.996675
442,0.992019
443,0.986300
444,1.000000
445,0.983772
446,0.999867
447,0.931897
448,0.995345
449,0.999601
450,0.988162
451,0.968210
452,0.999867
453,0.998803
454,0.682096
455,0.990024
456,0.999202
457,0.994945
458,0.920990
459,0.999601
460,0.202580
461,0.491487
462,0.999601
463,0.994546
464,0.991221
465,0.999601
466,0.999468
467,0.106943
468,0.971003
469,0.990157
470,0.995478
471,0.992950
472,0.957835
473,0.999867
474,0.996941
475,0.991753
476,0.971801
477,0.997739
478,0.996409
479,0.988428
480,0.999335
481,0.989492
482,0.993482
483,0.999601
484,0.997207
485,0.998271
486,0.999335
487,0.971136
488,0.983905
489,0.999202
490,0.993349
491,0.999734
492,0.997606
493,0.854882
494,0.999867
495,0.996542
496,0.999601
497,0.998005
498,0.999601
499,0.991354
500,0.997074
501,0.991221
502,0.556664
503,0.997872
504,0.998271
505,0.851423
506,0.994413
507,0.998537
508,0.983107
509,0.971269
510,0.149508
511,0.993615
512,0.982974
513,0.987630
514,0.894919
515,0.993615
516,0.998138
517,0.992551
518,0.965682
519,0.946395
520,0.709231
521,0.999069
522,0.952115
523,0.961160
524,0.120910
525,0.988827
526,0.350093
527,0.937616
528,0.995078
529,0.919792
530,0.990689
531,0.974594
532,0.994945
533,0.985368
534,0.982708
535,0.992152
536,0.998803
537,0.994147
538,0.985634
539,0.924714
540,0.999867
541,0.988029
542,0.993349
543,0.351822
544,0.970604
545,0.947592
546,0.999734
547,0.553472
548,0.991487
549,0.883480
550,0.995877
551,0.998138
552,0.984304
553,0.997739
554,0.967279
555,0.971535
556,0.995345
557,0.993748
558,0.995877
559,0.996276
560,0.986300
561,0.940809
562,0.990157
563,0.993083
564,0.909683
565,0.993482
